点类型,点数量,,,,,,,,,,
1,290,,,,,,,,,,
0,1,2,4,13,27,28,51,26,35,6,7
NAME,KIND,DESC,UNIT,PV,OFFMES,ONMES,ALMENAB,NORMALVAL,ALARMPR,GROUP,INDEX
区域,点数量,,,,,,,,,,
0,290,,,,,,,,,,
高压柜\主供电源受电柜保护\遥信量\A65,1,门控跳闸动作,4,0,,门控跳闸动作,1,0,1,0,7164
高压柜\主供电源受电柜保护\遥信量\A66,1,重合闸一次动作,4,0,,重合闸一次动作,1,0,1,0,7165
高压柜\主供电源受电柜保护\遥信量\A67,1,重合闸二次动作,4,0,,重合闸二次动作,1,0,1,0,7166
高压柜\主供电源受电柜保护\遥信量\A68,1,重合闸三次动作,4,0,,重合闸三次动作,1,0,1,0,7167
高压柜\主供电源受电柜保护\遥信量\A69,1,非零序跳闸动作,4,0,,非零序跳闸动作,1,0,1,0,7168
高压柜\备用电源受电柜保护\遥信量\A1,1,远方控制,22,0,就地控制,远方控制,1,2,1,0,7169
高压柜\备用电源受电柜保护\遥信量\A2,1,进线电源得电,22,0,进线电源失电,进线电源得电,1,2,1,0,7170
高压柜\备用电源受电柜保护\遥信量\A3,1,避雷器车工作位,22,0,避雷器车退出工作位,避雷器车到达工作位,1,2,1,0,7171
高压柜\备用电源受电柜保护\遥信量\A4,1,计量车工作位,22,0,计量车退出工作位,计量车到达工作位,1,2,1,0,7172
高压柜\备用电源受电柜保护\遥信量\A5,1,断路器工作位,22,0,断路器退出工作位,断路器到达工作位,1,2,1,0,7173
高压柜\备用电源受电柜保护\遥信量\A6,1,备用,22,0,,备用,1,0,1,0,7174
高压柜\备用电源受电柜保护\遥信量\A7,1,弹簧未储能,22,0,弹簧已储能,弹簧未储能,1,2,1,0,7175
高压柜\备用电源受电柜保护\遥信量\A8,1,断路器合位,22,0,断路器分位,断路器合位,1,2,1,0,7176
高压柜\备用电源受电柜保护\遥信量\A9,1,24V电源,22,0,,24V电源,0,0,1,0,7177
高压柜\备用电源受电柜保护\遥信量\A10,1,备用10,22,0,,备用,1,0,1,0,7178
高压柜\备用电源受电柜保护\遥信量\A11,1,备用11,22,0,,备用,1,0,1,0,7179
高压柜\备用电源受电柜保护\遥信量\A12,1,备用12,22,0,,备用,1,0,1,0,7180
高压柜\备用电源受电柜保护\遥信量\A13,1,有新事件记录,22,0,,有新事件记录,1,0,1,0,7181
高压柜\备用电源受电柜保护\遥信量\A14,1,重合充电,22,0,,重合充电,1,0,1,0,7182
高压柜\备用电源受电柜保护\遥信量\A15,1,告警总,22,0,,告警总,1,0,1,0,7183
高压柜\备用电源受电柜保护\遥信量\A16,1,事故总,22,0,,事故总,1,0,1,0,7184
高压柜\备用电源受电柜保护\遥信量\A17,1,串行ROM操作失败,22,0,,串行ROM操作失败,1,0,1,0,7185
高压柜\备用电源受电柜保护\遥信量\A18,1,时钟错误,22,0,,时钟错误,1,0,1,0,7186
高压柜\备用电源受电柜保护\遥信量\A19,1,CT相序报警,22,0,,CT相序报警,1,0,1,0,7187
高压柜\备用电源受电柜保护\遥信量\A20,1,CT断线,22,0,,CT断线,1,0,1,0,7188
高压柜\备用电源受电柜保护\遥信量\A21,1,PT断线,22,0,,PT断线,1,0,1,0,7189
高压柜\备用电源受电柜保护\遥信量\A22,1,零序Ⅰ段报警,22,0,,零序Ⅰ段报警,1,0,1,0,7190
高压柜\备用电源受电柜保护\遥信量\A23,1,零序Ⅱ段报警,22,0,,零序Ⅱ段报警,1,0,1,0,7191
高压柜\备用电源受电柜保护\遥信量\A24,1,过负荷,22,0,,过负荷,1,0,1,0,7192
高压柜\备用电源受电柜保护\遥信量\A25,1,过温报警,22,0,,过温报警,1,0,1,0,7193
高压柜\备用电源受电柜保护\遥信量\A26,1,轻瓦斯报警,22,0,,轻瓦斯报警,1,0,1,0,7194
高压柜\备用电源受电柜保护\遥信量\A27,1,FC闭锁,22,0,,FC闭锁,1,0,1,0,7195
高压柜\备用电源受电柜保护\遥信量\A28,1,位置异常,22,0,,位置异常,1,0,1,0,7196
高压柜\备用电源受电柜保护\遥信量\A29,1,弹簧未储能,22,0,,弹簧未储能,1,0,1,0,7197
高压柜\备用电源受电柜保护\遥信量\A30,1,开关偷跳,22,0,,开关偷跳,1,0,1,0,7198
高压柜\备用电源受电柜保护\遥信量\A31,1,电机过热报警,22,0,,电机过热报警,1,0,1,0,7199
高压柜\备用电源受电柜保护\遥信量\A43,1,系统错误,22,0,,系统错误,1,0,1,0,7200
高压柜\备用电源受电柜保护\遥信量\A45,1,精度系数错误,22,0,,精度系数错误,1,0,1,0,7201
高压柜\备用电源受电柜保护\遥信量\A46,1,RAM出错,22,0,,RAM出错,1,0,1,0,7202
高压柜\备用电源受电柜保护\遥信量\A47,1,定值参数出错,22,0,,定值参数出错,1,0,1,0,7203
高压柜\备用电源受电柜保护\遥信量\A48,1,出口出错,22,0,,出口出错,1,0,1,0,7204
高压柜\备用电源受电柜保护\遥信量\A49,1,启动时间长,22,0,,启动时间长,1,0,1,0,7205
高压柜\备用电源受电柜保护\遥信量\A50,1,速断动作,22,0,,速断动作,1,0,1,0,7206
高压柜\备用电源受电柜保护\遥信量\A51,1,过流Ⅰ段动作,22,0,,过流Ⅰ段动作,1,0,1,0,7207
高压柜\备用电源受电柜保护\遥信量\A52,1,过流Ⅱ段动作,22,0,,过流Ⅱ段动作,1,0,1,0,7208
